"","governorate_name","fuel_restock_days_min","wash_restock_days_min"
"1","Abyan",6.33333333333333,5.23076923076923
"2","Aden",3.33333333333333,2.33333333333333
"3","Al Dhale'e",23.8888888888889,13
"4","Al Hudaydah",4.75,3.14814814814815
"5","Al Jawf",30,3
"6","Amanat Al Asimah",7,4.19565217391304
"7","Amran",4.5,2
"8","Dhamar",3.66666666666667,1.83333333333333
"9","Hajjah",7.75,4.18181818181818
"10","Ibb",4.5,8.58333333333333
"11","Lahj",5,3.2
"12","Sa'ada",10.4,4.8
"13","Sana'a",4.79166666666667,1.25
"14","Shabwah",4.66666666666667,1
"15","Socotra",4,2.33333333333333
"16","Taizz",3.20408163265306,2.51515151515152
