"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","cost_cubic_meter","distance_travelled","dist_quar_score","price_quar_score","tot_quar_score"
"YE1302","Yemen","YE","YE13","Amanat Al Asimah","Shu'aub",1333,4,"Low","Med","Low Med"
"YE1303","Yemen","YE","YE13","Amanat Al Asimah","Az'zal",1333,4,"Low","Med","Low Med"
"YE1306","Yemen","YE","YE13","Amanat Al Asimah","Al Wahdah",1500,4,"Low","Med","Low Med"
"YE1309","Yemen","YE","YE13","Amanat Al Asimah","Ath'thaorah",1800,2,"Low","Med","Low Med"
"YE1310","Yemen","YE","YE13","Amanat Al Asimah","Bani Al Harith",1150,10,"Med","Low","Med Low"
"YE1413","Yemen","YE","YE14","Al Bayda","Rada'",4500,6,"Low","High","Low High"
"YE1505","Yemen","YE","YE15","Taizz","Al  Mukha",NA,NA,"0","0","0 0"
"YE1508","Yemen","YE","YE15","Taizz","Jabal Habashy",1683,20,"High","Med","High Med"
"YE1512","Yemen","YE","YE15","Taizz","Dimnat Khadir",2000,9.5,"Med","Med","Med Med"
"YE1513","Yemen","YE","YE15","Taizz","As Silw",NA,NA,"0","0","0 0"
"YE1514","Yemen","YE","YE15","Taizz","Ash Shamayatayn",3500,20,"High","High","High High"
"YE1520","Yemen","YE","YE15","Taizz","At Ta'iziyah",2000,9,"Med","Med","Med Med"
"YE1521","Yemen","YE","YE15","Taizz","Al Ma'afer",2000,10,"Med","Med","Med Med"
"YE1522","Yemen","YE","YE15","Taizz","Al Mawasit",1600,15,"Med","Med","Med Med"
"YE1713","Yemen","YE","YE17","Hajjah","Qafl Shamer",3000,20,"High","Med","High Med"
"YE1715","Yemen","YE","YE17","Hajjah","Al Mahabishah",7000,25,"High","High","High High"
"YE1722","Yemen","YE","YE17","Hajjah","Ku'aydinah",3250,17.5,"High","High","High High"
"YE1724","Yemen","YE","YE17","Hajjah","Bani Qa'is",3000,10,"Med","Med","Med Med"
"YE1726","Yemen","YE","YE17","Hajjah","Najrah",NA,NA,"0","0","0 0"
"YE1802","Yemen","YE","YE18","Al Hudaydah","Alluheyah",4000,10,"Med","High","Med High"
"YE1806","Yemen","YE","YE18","Al Hudaydah","Al Qanawis",2500,10,"Med","Med","Med Med"
"YE1807","Yemen","YE","YE18","Al Hudaydah","Az Zaydiyah",1250,20,"High","Med","High Med"
"YE1810","Yemen","YE","YE18","Al Hudaydah","Bajil",850,6,"Low","Low","Low Low"
"YE1817","Yemen","YE","YE18","Al Hudaydah","Bayt Al Faqiah",1750,5,"Low","Med","Low Med"
"YE1820","Yemen","YE","YE18","Al Hudaydah","Al Khawkhah",2000,8.5,"Med","Med","Med Med"
"YE1824","Yemen","YE","YE18","Al Hudaydah","Zabid",NA,NA,"0","0","0 0"
"YE2007","Yemen","YE","YE20","Dhamar","Wusab As Safil",3500,5,"Low","High","Low High"
"YE2113","Yemen","YE","YE21","Shabwah","Ataq",960,27,"High","Low","High Low"
"YE2114","Yemen","YE","YE21","Shabwah","Habban",3000,8.5,"Med","Med","Med Med"
"YE2203","Yemen","YE","YE22","Sa'ada","Monabbih",500,20,"High","Low","High Low"
"YE2204","Yemen","YE","YE22","Sa'ada","Ghamr",1200,20,"High","Med","High Med"
"YE2205","Yemen","YE","YE22","Sa'ada","Razih",1000,35,"High","Low","High Low"
"YE2209","Yemen","YE","YE22","Sa'ada","Saqayn",3500,7,"Med","High","Med High"
"YE2301","Yemen","YE","YE23","Sana'a","Hamdan",950,9,"Med","Low","Med Low"
"YE2302","Yemen","YE","YE23","Sana'a","Arhab",1400,10,"Med","Med","Med Med"
"YE2303","Yemen","YE","YE23","Sana'a","Nihm",1500,10,"Med","Med","Med Med"
"YE2304","Yemen","YE","YE23","Sana'a","Bani Hushaysh",1125,9,"Med","Low","Med Low"
"YE2305","Yemen","YE","YE23","Sana'a","Sanhan",4500,7,"Med","High","Med High"
"YE2307","Yemen","YE","YE23","Sana'a","Bani Matar",4200,7,"Med","High","Med High"
"YE2312","Yemen","YE","YE23","Sana'a","Khwlan",2000,2,"Low","Med","Low Med"
"YE2404","Yemen","YE","YE24","Aden","Al Buraiqeh",3250,10,"Med","High","Med High"
"YE2408","Yemen","YE","YE24","Aden","Khur Maksar",5000,10,"Med","High","Med High"
"YE2508","Yemen","YE","YE25","Lahj","Al Milah",1500,12,"Med","Med","Med Med"
"YE2515","Yemen","YE","YE25","Lahj","Tuban",500,12.5,"Med","Low","Med Low"
"YE2912","Yemen","YE","YE29","Amran","Jabal Iyal Yazid",1200,10,"Med","Med","Med Med"
"YE2915","Yemen","YE","YE29","Amran","Amran",900,10,"Med","Low","Med Low"
"YE3201","Yemen","YE","YE32","Socotra","Hidaybu",800,20,"High","Low","High Low"
