"district_ID","country_name","country_ID","governorate_ID","governorate_name","district_name","price_petrol_normalised","price_diesel_normalised","price_bottled_water_normalised","price_treated_water_normalised","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","exchange_rate_result"
"YE1102","Yemen","YE","YE11","Ibb","Yarim",325,375,130,200,130,120,550,1500,595
"YE1116","Yemen","YE","YE11","Ibb","Dhi As Sufal",325,350,130,150,130,120,500,4000,570
"YE1118","Yemen","YE","YE11","Ibb","Al Mashannah",325,375,130,200,140,120,600,3000,550
"YE1119","Yemen","YE","YE11","Ibb","Al Dhihar",325,375,130,200,140,120,550,3000,550
"YE1301","Yemen","YE","YE13","Amanat Al Asimah","Old City",325,375,100,150,100,150,500,2000,565
"YE1303","Yemen","YE","YE13","Amanat Al Asimah","Az'zal",325,375,80,115,120,90,500,1975,NA
"YE1304","Yemen","YE","YE13","Amanat Al Asimah","Assafi'yah",325,375,100,80,120,100,600,1333,595
"YE1306","Yemen","YE","YE13","Amanat Al Asimah","Al Wahdah",325,375,100,80,89.6,100,500,1500,595
"YE1308","Yemen","YE","YE13","Amanat Al Asimah","Ma'ain",325,375,85,120,108,85,475,1800,600
"YE1309","Yemen","YE","YE13","Amanat Al Asimah","Ath'thaorah",325,375,100,400,130,100,450,1500,555
"YE1310","Yemen","YE","YE13","Amanat Al Asimah","Bani Al Harith",325,420,100,60,145,100,490,1150,550
"YE1502","Yemen","YE","YE15","Taizz","Shara'b As Salam",325,340,125,80,120,100,515,2850,588
"YE1514","Yemen","YE","YE15","Taizz","Ash Shamayatayn",372.5,385,140,180,135,125,585,NA,600
"YE1515","Yemen","YE","YE15","Taizz","Al Wazi'iyah",310,325,100,100,100,72.72727273,500,3500,573
"YE1518","Yemen","YE","YE15","Taizz","Al Qahirah",347.5,352.5,110,115,150,120,565,3900,595
"YE1519","Yemen","YE","YE15","Taizz","Salh",325,325,100,80,100,70,550,1300,580
"YE1521","Yemen","YE","YE15","Taizz","Al Ma'afer",315,315,110,120,140,85.454545455,575,1000,550
"YE1522","Yemen","YE","YE15","Taizz","Al Mawasit",330,340,120,150,150,90.90909091,500,NA,NA
"YE1610","Yemen","YE","YE16","Al Jawf","Bart Al Anan",325,375,100,350,100,120,NA,875,590
"YE1704","Yemen","YE","YE17","Hajjah","Abs",325,375,120,100,120,100,400,1000,593
"YE1712","Yemen","YE","YE17","Hajjah","Aslem",325,375,120,100,120,100,400,1000,593
"YE1713","Yemen","YE","YE17","Hajjah","Qafl Shamer",325,380,120,75,130,120,550,3000,560
"YE1715","Yemen","YE","YE17","Hajjah","Al Mahabishah",330,370,100,100,150,100,600,6000,560
"YE1724","Yemen","YE","YE17","Hajjah","Bani Qa'is",325,380,100,NA,120,90.90909091,500,1500,590
"YE1726","Yemen","YE","YE17","Hajjah","Najrah",325,375,100,NA,100,109.0909091,500,1000,590
"YE1801","Yemen","YE","YE18","Al Hudaydah","Az Zuhrah",325,375,120,100,120,100,400,1000,593
"YE1802","Yemen","YE","YE18","Al Hudaydah","Alluheyah",325,380,130,75,130,120,700,1500,560
"YE1806","Yemen","YE","YE18","Al Hudaydah","Al Qanawis",330,370,150,75,150,120,650,2000,550
"YE1807","Yemen","YE","YE18","Al Hudaydah","Az Zaydiyah",325,375,150,75,150,90.90909091,500,1000,580
"YE1810","Yemen","YE","YE18","Al Hudaydah","Bajil",325,375,150,65,140,63.63636364,575,500,590
"YE1817","Yemen","YE","YE18","Al Hudaydah","Bayt Al Faqiah",335,385,90,100,105,77.272727275,360,1600,585
"YE1819","Yemen","YE","YE18","Al Hudaydah","Hays",320,330,105,NA,111.1111111,120,325,1500,575
"YE1820","Yemen","YE","YE18","Al Hudaydah","Al Khawkhah",290,320,125,100,138.4920635,110,312.5,NA,NA
"YE1824","Yemen","YE","YE18","Al Hudaydah","Zabid",350,400,150,NA,160,150,420,NA,600
"YE2007","Yemen","YE","YE20","Dhamar","Wusab As Safil",335,375,110,310,105,100,500,3000,570
"YE2008","Yemen","YE","YE20","Dhamar","Dhamar City",325,375,100,430,130,100,500,1700,555
"YE2113","Yemen","YE","YE21","Shabwah","Ataq",240,320,100,80,130,118.1818182,500,985,595
"YE2114","Yemen","YE","YE21","Shabwah","Habban",240,275,100,NA,150,120,500,3500,595
"YE2209","Yemen","YE","YE22","Sa'ada","Saqayn",400,430,120,95,140,150,550,4500,585
"YE2211","Yemen","YE","YE22","Sa'ada","Sahar",325,375,100,300,100,100,1200,850,580
"YE2215","Yemen","YE","YE22","Sa'ada","Sa'adah",325,375,100,300,100,100,1200,800,580
"YE2301","Yemen","YE","YE23","Sana'a","Hamdan",325,420,100,50,145,100,500,900,550
"YE2302","Yemen","YE","YE23","Sana'a","Arhab",325,420,100,60,150,100,500,1500,552.5
"YE2303","Yemen","YE","YE23","Sana'a","Nihm",325,450,100,NA,150,120,500,1500,NA
"YE2304","Yemen","YE","YE23","Sana'a","Bani Hushaysh",325,420,100,60,145,100,500,1150,560
"YE2305","Yemen","YE","YE23","Sana'a","Sanhan",400,400,120,120,144,180,600,5000,580
"YE2312","Yemen","YE","YE23","Sana'a","Khwlan",325,375,100,NA,150,100,500,1800,550
"YE2404","Yemen","YE","YE24","Aden","Al Buraiqeh",275,310,130,150,200,90.90909091,575,2500,590
"YE2408","Yemen","YE","YE24","Aden","Khur Maksar",275,NA,130,75,120,136.3636364,500,NA,590
"YE2508","Yemen","YE","YE25","Lahj","Al Milah",275,300,150,NA,150,63.63636364,600,1500,581
"YE2515","Yemen","YE","YE25","Lahj","Tuban",275,305,110,150,150,90.90909091,600,250,572.5
"YE2912","Yemen","YE","YE29","Amran","Jabal Iyal Yazid",335,392.5,115,250,120,90.90909091,550,950,560
"YE2915","Yemen","YE","YE29","Amran","Amran",325,375,110,147.727272725,135,100.000000005,500,850,570
"YE3003","Yemen","YE","YE30","Al Dhale'e","Qa'atabah",300,310,120,100,156,80,550,2000,560
"YE3006","Yemen","YE","YE30","Al Dhale'e","Ad Dhale'e",275,300,110,100,192,80,500,2250,557.5
"YE3201","Yemen","YE","YE32","Socotra","Hidaybu",235,230,100,100,100,80,600,1000,580
