"","question","freq","percent","percentofcases"
"1","fuel_Price_inflation",135,13.4730538922156,122.727272727273
"2","fuel_Liquidity_shortage",28,2.79441117764471,25.4545454545455
"3","fuel_Shortage_of_demand",37,3.69261477045908,33.6363636363636
"4","fuel_Insecurity_and_instability",44,4.39121756487026,40
"5","fuel_Supply_shortage",45,4.49101796407186,40.9090909090909
"6","fuel_Government_regulations",9,0.898203592814371,8.18181818181818
"7","fuel_Transportation_issues",38,3.79241516966068,34.5454545454545
"8","fuel_Other_see_next_question",8,0.798403193612774,7.27272727272727
"9","fuel_Do_not_know",0,0,0
"10","fuel_No_constraints",6,0.598802395209581,5.45454545454545
"11","fuel_Vendor_did_not_answer",1,0.0998003992015968,0.909090909090909
"12","wash_Price_inflation",165,16.4670658682635,150
"13","wash_Liquidity_shortage",37,3.69261477045908,33.6363636363636
"14","wash_Shortage_of_demand",19,1.89620758483034,17.2727272727273
"15","wash_Insecurity_and_instability",39,3.89221556886228,35.4545454545455
"16","wash_Supply_shortage",24,2.39520958083832,21.8181818181818
"17","wash_Government_regulations",4,0.399201596806387,3.63636363636364
"18","wash_Transportation_issues",46,4.59081836327345,41.8181818181818
"19","wash_Other_see_next_question",10,0.998003992015968,9.09090909090909
"20","wash_Do_not_know",0,0,0
"21","wash_No_constraints",16,1.59680638722555,14.5454545454545
"22","wash_Vendor_did_not_answer",0,0,0
"23","Price_inflation",122,12.1756487025948,110.909090909091
"24","Liquidity_shortage",23,2.29540918163673,20.9090909090909
"25","Shortage_of_demand",54,5.38922155688623,49.0909090909091
"26","Insecurity_and_instability",20,1.99600798403194,18.1818181818182
"27","Supply_shortage",32,3.1936127744511,29.0909090909091
"28","Government_regulations",2,0.199600798403194,1.81818181818182
"29","Transportation_issues",24,2.39520958083832,21.8181818181818
"30","Other_see_next_question",10,0.998003992015968,9.09090909090909
"31","Do_not_know",0,0,0
"32","No_constraints",3,0.29940119760479,2.72727272727273
"33","Vendor_did_not_answer",1,0.0998003992015968,0.909090909090909
"34","Total",1002,100,910.909090909091
