governorate_ID,country_name,country_ID,governorate_name,price_petrol_normalised,price_diesel_normalised,price_bottled_water_normalised,price_treated_water_normalised,price_soap_normalised,price_laundry_powder_normalised,price_sanitary_napkins_normalised,cost_cubic_meter,smeb_soap,smeb_laundry,smeb_napkins,smeb_cubic,smeb_total
YE11,Yemen,YE,Ibb,325,375,130,200,135,120,550,3000,1417.5,2400,1100,9450,14367.5
YE13,Yemen,YE,Amanat Al Asimah,325,375,100,110,120,100,500,1500,1260,2000,1000,4725,8985
YE15,Yemen,YE,Taizz,325,340,120,100,130,100,550,2000,1365,2000,1100,6300,10765
YE16,Yemen,YE,Al Jawf,325,375,100,350,100,120,NA,875,1050,2400,NA,2756.25,NA
YE17,Yemen,YE,Hajjah,325,375,120,100,120,100,500,1250,1260,2000,1000,3937.5,8197.5
YE18,Yemen,YE,Al Hudaydah,325,375,150,75,150,120,420,1500,1575,2400,840,4725,9540
YE20,Yemen,YE,Dhamar,325,375,100,340,110,100,500,3000,1155,2000,1000,9450,13605
YE21,Yemen,YE,Shabwah,240,317.5,100,80,140,119.0909091,500,2365,1470,2381.818182,1000,7449.75,12301.56818
YE22,Yemen,YE,Sa'ada,325,402.5,100,300,100,100,1200,850,1050,2000,2400,2677.5,8127.5
YE23,Yemen,YE,Sana'a,325,420,100,60,150,100,500,1500,1575,2000,1000,4725,9300
YE24,Yemen,YE,Aden,275,310,130,90,150,113.6363637,525,2500,1575,2272.727273,1050,7875,12772.72727
YE25,Yemen,YE,Lahj,275,305,120,150,150,90.90909091,600,250,1575,1818.181818,1200,787.5,5380.681818
YE29,Yemen,YE,Amran,325,375,115,250,120,90.90909091,525,900,1260,1818.181818,1050,2835,6963.181818
YE30,Yemen,YE,Al Dhale'e,280,300,120,100,160,80,500,2000,1680,1600,1000,6300,10580
YE32,Yemen,YE,Socotra,235,230,100,100,100,80,600,1000,1050,1600,1200,3150,7000
