"","district_ID","governorate_ID","governorate_name","district_name","calc_price_petrol","calc_price_diesel","calc_price_bottled_water","calc_price_treated_water","calc_price_soap","calc_price_laundry","calc_price_sanitary","cost_cubic_meter","exchange_rate_result"
"1","YE1102","YE11","Ibb","Yarim",365,430,120,100,150,80,500,1200,578
"2","YE1109","YE11","Ibb","Hazm Al Udayn",365,430,130,100,150,130,700,NA,580
"3","YE1116","YE11","Ibb","Dhi As Sufal",365,430,130,500,120,90.90909091,450,3000,583
"4","YE1117","YE11","Ibb","Mudhaykhirah",400,450,100,500,100,72.72727273,460,NA,584
"5","YE1118","YE11","Ibb","Al Mashannah",365,430,100,400,100,72.72727273,400,3000,580
"6","YE1119","YE11","Ibb","Al Dhihar",365,430,120,500,130,110,500,2000,582
"7","YE1205","YE12","Abyan","Sibah",340,375,120,100,204,80,550,2000,547.5
"8","YE1303","YE13","Amanat Al Asimah","Az'zal",365,430,100,85,100,100,525,1166,525
"9","YE1304","YE13","Amanat Al Asimah","Assafi'yah",365,430,100,65,100,100,575,1166,525
"10","YE1305","YE13","Amanat Al Asimah","As Sabain",365,420,130,100,150,100,500,1500,533
"11","YE1306","YE13","Amanat Al Asimah","Al Wahdah",365,430,100,47.5,100,100,525,1500,525
"12","YE1308","YE13","Amanat Al Asimah","Ma'ain",355,440,115,100,150,125,650,1125,557
"13","YE1309","YE13","Amanat Al Asimah","Ath'thaorah",365,430,100,300,140,100,450,1700,560
"14","YE1310","YE13","Amanat Al Asimah","Bani Al Harith",365,430,100,65,150,100,500,1050,586
"15","YE1413","YE14","Al Bayda","Rada'",390,450,150,120,170,180,600,5000,600
"16","YE1505","YE15","Taizz","Al  Mukha",370,400,115,NA,124,100,350,NA,580
"17","YE1508","YE15","Taizz","Jabal Habashy",375,400,90,150,110,75,500,2083,575
"18","YE1512","YE15","Taizz","Dimnat Khadir",375,440,130,100,155,104.5,500,2000,574.5
"19","YE1513","YE15","Taizz","As Silw",400,450,100,100,180,150,750,NA,600
"20","YE1514","YE15","Taizz","Ash Shamayatayn",375,400,100,100,110,91,450,4400,583
"21","YE1517","YE15","Taizz","Al Mudhaffar",325,325,100,80,150,120,700,1000,554
"22","YE1518","YE15","Taizz","Al Qahirah",340,340,100,80,150,120,700,1000,555
"23","YE1520","YE15","Taizz","At Ta'iziyah",375,440,150,100,150,111,550,2000,585
"24","YE1521","YE15","Taizz","Al Ma'afer",400,425,150,200,150,109,500,600,588
"25","YE1522","YE15","Taizz","Al Mawasit",400,425,150,150,140,109,500,500,588
"26","YE1610","YE16","Al Jawf","Bart Al Anan",375,435,110,310,100,100,850,900,570
"27","YE1713","YE17","Hajjah","Qafl Shamer",440,370,100,87.5,128,86,700,4500,575
"28","YE1715","YE17","Hajjah","Al Mahabishah",370,440,120,170,160,100,700,6500,570
"29","YE1724","YE17","Hajjah","Bani Qa'is",375,430,120,NA,130,118,500,1500,560
"30","YE1726","YE17","Hajjah","Najrah",375,430,120,NA,120,109,400,1200,560
"31","YE1802","YE18","Al Hudaydah","Alluheyah",375,390,150,100,150,91,700,2500,570
"32","YE1806","YE18","Al Hudaydah","Al Qanawis",370,380,150,87.5,130,109,700,2500,570
"33","YE1807","YE18","Al Hudaydah","Az Zaydiyah",365,430,120,70,100,75,320,1000,530
"34","YE1810","YE18","Al Hudaydah","Bajil",365,430,120,70,100,60,305,500,500
"35","YE1817","YE18","Al Hudaydah","Bayt Al Faqiah",375,NA,107.5,55,100,100,350,2000,530
"36","YE1819","YE18","Al Hudaydah","Hays",385,410,110,NA,133,98,400,1250,555
"37","YE1820","YE18","Al Hudaydah","Al Khawkhah",370,400,105,NA,74,106.5,384,3000,582.5
"38","YE1824","YE18","Al Hudaydah","Zabid",400,480,160,130,135,135,375,NA,565
"39","YE1826","YE18","Al Hudaydah","At Tuhayat",420,375,140,NA,128,120,400,NA,NA
"40","YE2007","YE20","Dhamar","Wusab As Safil",375,430,110,320,120,120,570,3200,590
"41","YE2008","YE20","Dhamar","Dhamar City",365,430,100,400,130,100,450,2000,586
"42","YE2113","YE21","Shabwah","Ataq",365,365,100,150,120,118,400,1388,587
"43","YE2114","YE21","Shabwah","Habban",275,362.5,100,NA,150,130,750,3875,585
"44","YE2203","YE22","Sa'ada","Monabbih",400,400,150,NA,160,140,700,3000,560
"45","YE2204","YE22","Sa'ada","Ghamr",400,400,180,NA,100,180,680,1000,560
"46","YE2209","YE22","Sa'ada","Saqayn",365,450,120,100,200,200,550,5000,580
"47","YE2211","YE22","Sa'ada","Sahar",375,435,110,310,100,100,1000,800,580
"48","YE2215","YE22","Sa'ada","Sa'adah",365,430,120,200,150,130,500,1000,555
"49","YE2301","YE23","Sana'a","Hamdan",365,440,100,60,150,100,500,850,570.5
"50","YE2302","YE23","Sana'a","Arhab",365,430,100,70,150,100,500,1375,587
"51","YE2303","YE23","Sana'a","Nihm",370,450,100,NA,160,100,520,1300,NA
"52","YE2304","YE23","Sana'a","Bani Hushaysh",365,430,100,60,150,100,500,1100,540
"53","YE2305","YE23","Sana'a","Sanhan",370,450,140,100,120,150,600,4500,590
"54","YE2307","YE23","Sana'a","Bani Matar",365,450,140,100,120,150,600,4500,600
"55","YE2312","YE23","Sana'a","Khwlan",365,430,100,NA,150,100,500,2000,565
"56","YE2404","YE24","Aden","Al Buraiqeh",290,355,150,100,150,150,525,1000,588
"57","YE2408","YE24","Aden","Khur Maksar",290,NA,125,70,120,136,500,5000,580
"58","YE2508","YE25","Lahj","Al Milah",325,375,150,NA,150,118,550,2000,589
"59","YE2515","YE25","Lahj","Tuban",300,375,150,100,150,91,550,1000,585
"60","YE2912","YE29","Amran","Jabal Iyal Yazid",365,430,120,350,150,109,833,1000,585
"61","YE2915","YE29","Amran","Amran",365,430,120,200,150,100,625,900,590
"62","YE3003","YE30","Al Dhale'e","Qa'atabah",330,380,120,100,213,80,550,2000,544
"63","YE3006","YE30","Al Dhale'e","Ad Dhale'e",325,375,100,100,208,75,500,2500,545
"64","YE3201","YE32","Socotra","Hidaybu",230,230,120,NA,160,140,700,900,560
