"governorate_ID","governorate_name","price_soap_normalised","price_laundry_powder_normalised","price_sanitary_napkins_normalised","cost_cubic_meter","smeb_soap","smeb_laundry","smeb_napkins","smeb_cubic","smeb_total"
"YE11","Ibb",130,100,450,2400,1365,2000,900,7560,11825
"YE12","Abyan",120,80,500,NA,1260,1600,1000,NA,NA
"YE13","Amanat Al Asimah",92.8,100,550,1191.5,974.4,2000,1100,3753.225,7827.625
"YE15","Taizz",111,100,600,3000,1165.5,2000,1200,9450,13815.5
"YE16","Al Jawf",103,110,800,1000,1081.5,2200,1600,3150,8031.5
"YE17","Hajjah",128,90,500,2000,1344,1800,1000,6300,10444
"YE18","Al Hudaydah",138.6666667,109.0909091,500,1500,1456.00000035,2181.818182,1000,4725,9362.81818235
"YE20","Dhamar",140,100,515,2250,1470,2000,1030,7087.5,11587.5
"YE21","Shabwah",130,128.1818182,550,2160,1365,2563.636364,1100,6804,11832.636364
"YE22","Sa'ada",110,105,900,950,1155,2100,1800,2992.5,8047.5
"YE23","Sana'a",160,110,500,1350,1680,2200,1000,4252.5,9132.5
"YE24","Aden",154.2857143,122.7272728,512.5,3562.5,1620.00000015,2454.545456,1025,11221.875,16321.42045615
"YE25","Lahj",168.5714286,54.54545455,575,310,1770.0000003,1090.909091,1150,976.5,4987.4090913
"YE29","Amran",137.1428571,90.90909091,537.5,950,1439.99999955,1818.1818182,1075,2992.5,7325.68181775
"YE30","Al Dhale'e",223.8,78.18181818,550,2375,2349.9,1563.6363636,1100,7481.25,12494.7863636
"YE32","Socotra",96,110,600,1200,1008,2200,1200,3780,8188
