governorate_ID,governorate_name,price_diesel_normalised,price_diesel_normalised_1,price_bottled_water_normalised,price_treated_water_normalised,price_soap_normalised,price_laundry_powder_normalised,price_sanitary_napkins_normalised,cost_cubic_meter,exchange_rate_result
YE11,Ibb,395,395,110,185,130,100,450,2400,545
YE12,Abyan,310,310,120,100,120,80,500,NA,555
YE13,Amanat Al Asimah,425,425,100,120,92.8,100,550,1191.5,545
YE15,Taizz,345,345,125,115,111,100,600,3000,555
YE16,Al Jawf,400,400,100,305,103,110,800,1000,560
YE17,Hajjah,410,410,120,100,128,90,500,2000,520
YE18,Al Hudaydah,410,410,150,125,138.6666667,109.0909091,500,1500,530
YE20,Dhamar,415,415,110,397.5,140,100,515,2250,550
YE21,Shabwah,295,295,100,100,130,128.1818182,550,2160,560.5
YE22,Sa'ada,415,415,100,300,110,105,900,950,560
YE23,Sana'a,410,410,100,70,160,110,500,1350,555
YE24,Aden,283.75,310,142.5,107.5,154.2857143,122.7272728,512.5,3562.5,527.5
YE25,Lahj,307.5,307.5,135,300,168.5714286,54.54545455,575,310,531
YE29,Amran,410,410,107.5,400,137.1428571,90.90909091,537.5,950,550
YE30,Al Dhale'e,300,300,97.5,98.75,223.8,78.18181818,550,2375,531.5
YE32,Socotra,300,300,100,120,96,110,600,1200,520
