index,value,variable,has_issue,issue_type
1,8000,price_soap,TRUE,normal distribution outlier
8,60,capacity_truck,TRUE,normal distribution outlier
9,27,capacity_truck,TRUE,normal distribution outlier
10,36,capacity_truck,TRUE,normal distribution outlier
11,30000,additional_cost_10,TRUE,normal distribution outlier
12,275,calc_price_petrol,TRUE,log normal distribution outlier
13,275,calc_price_petrol,TRUE,log normal distribution outlier
14,1700,price_bottled_water,TRUE,normal distribution outlier
14,7700,price_soap,TRUE,normal distribution outlier
14,13600,price_sanitary_napkins,TRUE,log normal distribution outlier
20,1800,price_bottled_water,TRUE,normal distribution outlier
20,6500,price_soap,TRUE,normal distribution outlier
21,1800,price_bottled_water,TRUE,normal distribution outlier
21,7300,price_soap,TRUE,normal distribution outlier
22,7500,price_soap,TRUE,normal distribution outlier
23,1800,price_bottled_water,TRUE,normal distribution outlier
23,6100,price_soap,TRUE,normal distribution outlier
24,1700,price_bottled_water,TRUE,normal distribution outlier
24,7200,price_soap,TRUE,normal distribution outlier
24,38400,calc_price_soap,TRUE,normal distribution outlier
25,1700,price_bottled_water,TRUE,normal distribution outlier
25,7500,price_soap,TRUE,normal distribution outlier
28,2100,price_bottled_water,TRUE,normal distribution outlier
29,2100,price_bottled_water,TRUE,normal distribution outlier
29,8000,price_soap,TRUE,normal distribution outlier
29,8000,price_laundry_powder,TRUE,log normal distribution outlier
47,8000,distance_travelled,TRUE,normal distribution outlier
58,7500,price_petrol,TRUE,normal distribution outlier
58,8700,price_diesel,TRUE,normal distribution outlier
59,7500,price_petrol,TRUE,normal distribution outlier
59,8500,price_diesel,TRUE,normal distribution outlier
60,7600,price_petrol,TRUE,normal distribution outlier
60,8600,price_diesel,TRUE,normal distribution outlier
67,7500,price_petrol,TRUE,normal distribution outlier
67,8600,price_diesel,TRUE,normal distribution outlier
68,7500,price_petrol,TRUE,normal distribution outlier
68,8500,price_diesel,TRUE,normal distribution outlier
69,7500,price_petrol,TRUE,normal distribution outlier
69,8700,price_diesel,TRUE,normal distribution outlier
69,1,calc_price_diesel,TRUE,normal distribution outlier
70,7500,price_petrol,TRUE,normal distribution outlier
70,8600,price_diesel,TRUE,normal distribution outlier
71,7500,price_petrol,TRUE,normal distribution outlier
71,8600,price_diesel,TRUE,normal distribution outlier
72,7500,price_petrol,TRUE,normal distribution outlier
72,8600,price_diesel,TRUE,normal distribution outlier
82,8000,cost_cubic_meter,TRUE,normal distribution outlier
83,2200,price_bottled_water,TRUE,normal distribution outlier
84,2200,price_bottled_water,TRUE,normal distribution outlier
88,480,calc_price_petrol,TRUE,log normal distribution outlier
92,5760,price_laundry_powder,TRUE,log normal distribution outlier
92,101,exchange_rate_result,TRUE,normal distribution outlier
93,8000,price_petrol,TRUE,normal distribution outlier
93,5760,price_laundry_powder,TRUE,log normal distribution outlier
93,101,exchange_rate_result,TRUE,normal distribution outlier
94,101,exchange_rate_result,TRUE,normal distribution outlier
118,20000,distance_travelled,TRUE,normal distribution outlier
NA,15 \\ 11 instance(s),bottled_quantity_other,NA,'other' response. may need recoding.
NA,5 \\ 9 instance(s),treated_quantity_other,NA,'other' response. may need recoding.
NA,20 \\ 7 instance(s),treated_quantity_other,NA,'other' response. may need recoding.
NA,15 \\ 1 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,75 \\ 3 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,85 \\ 5 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,100 \\ 14 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,900 \\ 4 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,5400 \\ 1 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,5760 \\ 2 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,6120 \\ 5 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,8640 \\ 1 instance(s),soap_quantity_other,NA,'other' response. may need recoding.
NA,90 \\ 3 instance(s),laundry_quantity_other,NA,'other' response. may need recoding.
NA,100 \\ 1 instance(s),laundry_quantity_other,NA,'other' response. may need recoding.
NA,110 \\ 18 instance(s),laundry_quantity_other,NA,'other' response. may need recoding.
NA,500 \\ 2 instance(s),laundry_quantity_other,NA,'other' response. may need recoding.
NA,700 \\ 3 instance(s),laundry_quantity_other,NA,'other' response. may need recoding.
NA,4800 \\ 11 instance(s),laundry_quantity_other,NA,'other' response. may need recoding.
NA,5280 \\ 2 instance(s),laundry_quantity_other,NA,'other' response. may need recoding.
NA,8640 \\ 1 instance(s),laundry_quantity_other,NA,'other' response. may need recoding.
NA,8 \\ 9 instance(s),napkins_quantity_other,NA,'other' response. may need recoding.
NA,9 \\ 4 instance(s),napkins_quantity_other,NA,'other' response. may need recoding.
NA,16 \\ 1 instance(s),napkins_quantity_other,NA,'other' response. may need recoding.
NA,24 \\ 4 instance(s),napkins_quantity_other,NA,'other' response. may need recoding.
NA,144 \\ 1 instance(s),napkins_quantity_other,NA,'other' response. may need recoding.
NA,180 \\ 2 instance(s),napkins_quantity_other,NA,'other' response. may need recoding.
NA,216 \\ 1 instance(s),napkins_quantity_other,NA,'other' response. may need recoding.
NA,2 \\ 1 instance(s),mrk_supply_issues_other,NA,'other' response. may need recoding.
NA,3 \\ 1 instance(s),mrk_supply_issues_other,NA,'other' response. may need recoding.
NA,4 \\ 1 instance(s),mrk_supply_issues_other,NA,'other' response. may need recoding.
NA,5 \\ 1 instance(s),mrk_supply_issues_other,NA,'other' response. may need recoding.
NA,6 \\ 1 instance(s),mrk_supply_issues_other,NA,'other' response. may need recoding.
NA,7 \\ 1 instance(s),mrk_supply_issues_other,NA,'other' response. may need recoding.
